p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.420380802870525e-46,1.1573431169982413,0.27,0.016,2.6093815729534414e-42,8,LTB
1.6218679668116704e-46,3.166282443414333,0.794,0.177,2.97953364182972e-42,8,CD69
1.6180358936797253e-43,2.397858746612011,0.778,0.194,2.9724937402790234e-39,8,ETS1
4.187682818492348e-42,2.3777005281124204,0.937,0.328,7.693192105852293e-38,8,PTPRC
2.1831460358886073e-41,1.3855015765514098,0.286,0.021,4.010657582530961e-37,8,TRG-AS1
3.7610657712184184e-41,2.4928472036066793,1,0.648,6.909453928305357e-37,8,HLA-A
2.725015932662901e-39,2.418988023006112,1,0.618,5.006126769895016e-35,8,HLA-B
3.364382857229887e-39,1.2739977404893388,0.46,0.062,6.180707747017025e-35,8,NIBAN1
4.6730381741861104e-39,2.162186729113759,1,0.487,8.584838429797304e-35,8,HLA-C
2.449622393963273e-38,2.489400299519504,1,0.844,4.500201299949929e-34,8,B2M
1.146014862397293e-37,1.3240687961795568,0.46,0.065,2.105343903710067e-33,8,CASP8
1.2953204141002746e-37,2.0127577891416983,0.81,0.251,2.3796331327436145e-33,8,RESF1
6.6022763202844775e-37,1.7616602744488907,0.556,0.101,1.2129041827994614e-32,8,PLAAT4
7.543172853706948e-37,2.0631055420296867,0.762,0.2,1.3857562849545034e-32,8,HCST
9.791300566135922e-36,1.445017578315333,0.349,0.038,1.79875982700483e-31,8,ADGRE5
6.420956073086764e-35,1.9615358675482215,0.698,0.18,1.1795938401867695e-30,8,LCP1
2.26632210866412e-34,1.6037648331044014,0.984,0.951,4.1634603458268546e-30,8,RPS15A
2.3890901991919767e-34,2.502048396948601,0.921,0.365,4.38899760493558e-30,8,CXCR4
3.9702051694486975e-34,1.2988230504184548,0.397,0.052,7.293663916794203e-30,8,ITGAL
5.802170048193635e-34,2.442583363913269,0.984,0.849,1.0659166595536527e-29,8,BTG1
1.6462409144584565e-33,1.8104008176928748,0.984,0.965,3.0243091839516303e-29,8,RPS27
2.8793075493299685e-33,1.4947596420595266,1,0.952,5.289575898874085e-29,8,RPS3
6.638874168266159e-33,1.7785807740886161,0.984,0.929,1.219627573452176e-28,8,RPS18
7.236888723171625e-33,1.6413148079706599,0.508,0.091,1.3294888273338592e-28,8,PTGER4
3.4293053787546366e-32,1.4438503653153125,0.984,0.957,6.299976911310143e-28,8,RPS29
4.8883925172587645e-32,1.8851416486817933,0.619,0.151,8.980465893456076e-28,8,PARP8
4.231421431432853e-31,1.8076530928558388,0.635,0.164,7.773544311685294e-27,8,STK17B
1.959589142199375e-30,1.1661638150889528,1,0.985,3.599961213134472e-26,8,RPL41
9.862826520111532e-30,1.4255040383653643,0.984,0.958,1.8118998600096896e-25,8,RPL28
2.2080080872142482e-29,1.1732873081732498,0.984,0.97,4.0563316570212954e-25,8,RPL30
1.1883487049144132e-28,1.5649259147847925,0.54,0.119,2.1831154057982685e-24,8,CEMIP2
1.2031255770547091e-28,1.5062268809571766,0.714,0.22,2.2102619976072062e-24,8,CORO1A
1.2312653626340977e-28,1.617076274126088,0.984,0.425,2.2619575976951006e-24,8,HLA-E
6.99516772972919e-28,1.7139265455386443,0.556,0.133,1.2850822636285495e-23,8,SOCS1
1.1783351571378877e-27,1.6587267682351887,0.794,0.289,2.1647195171780134e-23,8,GMFG
2.427511645576072e-27,1.9094584865233444,0.746,0.279,4.459581644087802e-23,8,S100A6
2.4750315259832714e-27,1.3786053635210773,0.524,0.119,4.546880416383868e-23,8,PSMB9
8.296579283371691e-27,1.0127357264233012,0.317,0.042,1.5241645801482134e-22,8,AC044849.1
1.0506234526596795e-26,1.8498365681462094,0.778,0.301,1.930100344881097e-22,8,MYL12A
4.1125210200391736e-26,1.1949478755842082,0.984,0.941,7.555112365913966e-22,8,RPS7
5.187389575600978e-26,1.4932755755145355,0.524,0.124,9.529753389336556e-22,8,IQGAP1
7.013431917904719e-26,1.0322947112167205,0.365,0.057,1.2884375776382758e-21,8,TSTD1
1.2324511026685517e-25,1.5351156342015189,0.857,0.334,2.2641359207123965e-21,8,ARHGDIB
1.9664402579891977e-25,1.4058673167245215,0.619,0.179,3.612547397951955e-21,8,PCED1B-AS1
6.680267956643634e-25,1.1008134266680258,0.984,0.949,1.227232026315002e-20,8,RPL23A
1.5938755053620204e-24,1.71943469247547,0.778,0.364,2.9281086909005676e-20,8,PPP2R5C
2.8778148134339333e-24,1.255430464178894,0.365,0.062,5.286833593759479e-20,8,FKBP11
6.400979618279834e-24,2.174525656153352,0.968,0.846,1.1759239656741882e-19,8,TXNIP
1.2224507450981363e-23,1.012451608132023,0.984,0.953,2.245764263819786e-19,8,RPLP2
4.238233246417312e-23,1.0595784261553574,0.984,0.939,7.786058296993244e-19,8,RPL35A
1.1493362460533846e-22,1.0256330617920817,1,0.967,2.111445617624673e-18,8,RPS14
1.335644502659123e-22,1.2777510259997122,0.492,0.121,2.453712515835075e-18,8,GIMAP1
1.7378917291706442e-22,1.97382651889244,0.889,0.572,3.1926808956593903e-18,8,TSC22D3
4.886192779667041e-22,1.017431173131883,0.286,0.041,8.97642475552632e-18,8,RCAN3
5.63724904041811e-22,1.3877533080359647,0.603,0.191,1.0356190212152111e-17,8,CLEC2B
8.065375713160809e-22,2.152294304951625,0.952,0.614,1.481690172264772e-17,8,JUNB
2.023733519478714e-21,1.7441566302207079,0.937,0.704,3.717800848634345e-17,8,ZFP36L2
2.4784379477600878e-21,1.5987197695945028,0.619,0.219,4.5531383538300573e-17,8,STK17A
9.0381296058444365e-21,1.0374683033277181,0.984,0.955,1.6603947898896813e-16,8,RPL26
1.6643523934624433e-20,1.2391056340353745,0.286,0.044,3.0575817820298545e-16,8,CDC14A
3.505396326909342e-20,1.4190399017937458,0.476,0.13,6.439763592165152e-16,8,LYAR
3.9627148969051424e-20,1.1936146852730474,0.413,0.093,7.279903537104437e-16,8,SLC2A3
7.379643204242376e-19,1.765253085946675,0.651,0.24,1.355714253051367e-14,8,TNFAIP3
7.467231909079039e-19,1.8100623922641854,0.73,0.403,1.3718051740169103e-14,8,STK4
5.013150356445579e-18,1.0742126178697444,0.349,0.075,9.209658519826173e-14,8,APOBEC3G
5.477781764224048e-18,1.0427466366908051,0.984,0.945,1.0063232879055999e-13,8,RPL11
